Q,ID,TOOL,Expected,Predicted,ID/OOD DAIV,Loss DAIV,Loss Selforacle,ASS 1,ASS 2,ID/OOD Human,Misclass Human 1,Misclass Human 2,Misclass Humans,ID/OOD Selforacle 9999
0,dj_0_e5_p8,dj,5,8,id,1879.191650390630,0.22058639,Digit 5,Not a digit,?,1,0,N/A,id
0,dj_1_e5_p3,dj,5,3,id,1949.8173828125,0.17912069,Digit 5,Digit 5,id,1,1,yes,id
45,dj_10_e5_p6,dj,5,6,id,1602.07958984375,0.24528861,Digit 5,Digit 5,id,1,1,yes,id
45,dj_11_e5_p3,dj,5,3,id,1975.365234375,0.2164699,Digit 5,Digit 5,id,1,1,yes,id
46,dj_12_e5_p3,dj,5,3,ood,371.4122314453130,0.23378688,Digit 5,Digit 5,id,1,1,yes,id
46,dj_13_e5_p8,dj,5,8,ood,256.2124938964840,0.2431199,Digit 5,Digit 5,id,1,1,yes,id
47,dj_14_e5_p6,dj,5,6,id,2016.9949951171900,0.1634863,Digit 5,Digit 5,id,1,1,yes,id
47,dj_15_e5_p8,dj,5,8,id,1484.2850341796900,0.28060624,Digit 6,Digit 6,id,0,0,no,id
48,dj_16_e5_p9,dj,5,9,id,2048.4404296875,0.1621373,Digit 5,Digit 5,id,1,1,yes,id
48,dj_17_e5_p2,dj,5,2,id,1351.2650146484400,0.25256428,Digit 5,Digit 5,id,1,1,yes,id
49,dj_18_e5_p3,dj,5,3,id,1678.138916015630,0.25557998,Digit 5,Digit 5,id,1,1,yes,id
49,dj_19_e5_p7,dj,5,7,id,2310.46435546875,0.1234176,Digit 5,Digit 5,id,1,1,yes,id
1,dj_2_e5_p4,dj,5,4,id,2219.013916015630,0.1488184,Digit 5,Digit 5,id,1,1,yes,id
2,dj_20_e5_p3,dj,5,3,id,1525.0838623046900,0.21040757,Digit 3,Digit 3,id,0,0,no,id
2,dj_21_e5_p7,dj,5,7,id,1893.40234375,0.16008765,Digit 5,Digit 5,id,1,1,yes,id
3,dj_22_e5_p6,dj,5,6,id,1689.5054931640600,0.24214914,Digit 5,Digit 5,id,1,1,yes,id
3,dj_23_e5_p3,dj,5,3,id,1721.6719970703100,0.21948427,Digit 5,Digit 5,id,1,1,yes,id
4,dj_24_e5_p3,dj,5,3,id,2031.5228271484400,0.22817521,Digit 5,Digit 5,id,1,1,yes,id
4,dj_25_e5_p3,dj,5,3,id,1686.4114990234400,0.16565192,Digit 5,Digit 5,id,1,1,yes,id
5,dj_26_e5_p3,dj,5,3,id,1715.7115478515600,0.18891753,Digit 5,Digit 5,id,1,1,yes,id
5,dj_27_e5_p0,dj,5,0,id,1686.7666015625,0.21720299,Digit 5,Digit 0,id,1,0,N/A,id
6,dj_28_e5_p6,dj,5,6,id,1716.22900390625,0.22177266,Digit 5,Digit 5,id,1,1,yes,id
6,dj_29_e5_p3,dj,5,3,id,1903.594970703130,0.17901993,Digit 5,Digit 5,id,1,1,yes,id
1,dj_3_e5_p3,dj,5,3,id,1729.0306396484400,0.27033123,Digit 5,Digit 5,id,1,1,yes,id
7,dj_30_e5_p3,dj,5,3,id,1940.6849365234400,0.16402711,Digit 5,Digit 5,id,1,1,yes,id
7,dj_31_e5_p8,dj,5,8,ood,352.4068603515630,0.26240876,Digit 5,Digit 5,id,1,1,yes,id
8,dj_32_e5_p3,dj,5,3,id,1851.3980712890600,0.21216197,Digit 5,Digit 5,id,1,1,yes,id
8,dj_33_e5_p3,dj,5,3,id,2253.86572265625,0.14835912,Digit 5,Digit 5,id,1,1,yes,id
9,dj_34_e5_p3,dj,5,3,id,1623.4713134765600,0.24307004,Digit 5,Digit 5,id,1,1,yes,id
9,dj_35_e5_p6,dj,5,6,id,1829.1634521484400,0.15061593,Digit 5,Digit 5,id,1,1,yes,id
10,dj_36_e5_p6,dj,5,6,id,2011.1539306640600,0.14133808,Digit 1,Digit 5,id,0,1,N/A,id
10,dj_37_e5_p3,dj,5,3,id,1537.267333984380,0.2927133,Digit 5,Digit 5,id,1,1,yes,id
11,dj_38_e5_p3,dj,5,3,id,1721.4490966796900,0.21687049,Digit 5,Digit 5,id,1,1,yes,id
11,dj_39_e5_p6,dj,5,6,id,1540.70654296875,0.21920724,Digit 5,Digit 5,id,1,1,yes,id
12,dj_4_e5_p3,dj,5,3,id,1591.0394287109400,0.23681131,Digit 5,Digit 5,id,1,1,yes,id
13,dj_40_e5_p8,dj,5,8,id,1816.9713134765600,0.23194376,Digit 5,Digit 5,id,1,1,yes,id
13,dj_41_e5_p3,dj,5,3,id,1628.5797119140600,0.2902577,Digit 5,Digit 5,id,1,1,yes,id
14,dj_42_e5_p6,dj,5,6,id,1473.542724609380,0.11169886,Digit 6,Digit 6,id,0,0,no,id
14,dj_43_e5_p3,dj,5,3,id,1565.9183349609400,0.28067464,Digit 5,Digit 5,id,1,1,yes,id
15,dj_44_e5_p3,dj,5,3,id,1857.556884765630,0.17735244,Digit 5,Digit 5,id,1,1,yes,id
15,dj_45_e5_p6,dj,5,6,id,1991.920654296880,0.13297506,Digit 5,Digit 5,id,1,1,yes,id
16,dj_46_e5_p9,dj,5,9,id,1467.7408447265600,0.153155,Digit 5,Digit 5,id,1,1,yes,id
16,dj_47_e5_p6,dj,5,6,id,1498.83935546875,0.2815455,Not a digit,Digit 5,?,0,1,N/A,id
17,dj_48_e5_p6,dj,5,6,id,1703.48583984375,0.23514321,Digit 5,Digit 5,id,1,1,yes,id
17,dj_49_e5_p7,dj,5,7,id,1940.9068603515600,0.15771937,Digit 5,Digit 5,id,1,1,yes,id
12,dj_5_e5_p4,dj,5,4,id,1933.200439453130,0.2107352,Digit 5,Digit 5,id,1,1,yes,id
18,dj_50_e5_p7,dj,5,7,id,1954.499755859380,0.1371284,Digit 5,Digit 5,id,1,1,yes,id
18,dj_51_e5_p6,dj,5,6,id,1483.6527099609400,0.3167699,Not a digit,Digit 5,?,0,1,N/A,id
19,dj_52_e5_p7,dj,5,7,id,2258.33837890625,0.1117817,Digit 5,Digit 5,id,1,1,yes,id
19,dj_53_e5_p0,dj,5,0,id,1638.4222412109400,0.2446025,Digit 5,Digit 5,id,1,1,yes,id
20,dj_54_e5_p6,dj,5,6,id,2013.89013671875,0.14287148,Digit 5,Digit 5,id,1,1,yes,id
20,dj_55_e5_p3,dj,5,3,id,1759.59423828125,0.19624127,Digit 5,Digit 5,id,1,1,yes,id
21,dj_56_e5_p2,dj,5,2,id,1352.5479736328100,0.28434792,Digit 5,Digit 5,id,1,1,yes,id
21,dj_57_e5_p3,dj,5,3,id,1614.77294921875,0.23543233,Digit 5,Digit 5,id,1,1,yes,id
22,dj_58_e5_p6,dj,5,6,id,1766.1292724609400,0.2031404,Digit 5,Digit 5,id,1,1,yes,id
22,dj_59_e5_p3,dj,5,3,id,1754.3070068359400,0.20415956,Digit 5,Digit 5,id,1,1,yes,id
23,dj_6_e5_p3,dj,5,3,id,1976.495849609380,0.16064765,Digit 5,Digit 5,id,1,1,yes,id
24,dj_60_e5_p4,dj,5,4,id,1581.5240478515600,0.20984654,Digit 5,Digit 5,id,1,1,yes,id
