Q,ID,TOOL,Expected,Predicted,ID/OOD DAIV,Loss DAIV,Loss Selforacle,ASS 1,ASS 2,ID/OOD Human,Misclass Human 1,Misclass Human 2,Misclass Humans,ID/OOD Selforacle 9999
0,dj_0_e5_p2,dj,5,2,ood,1765.8677978515600,15.52844,Digit 5,Digit 5,id,1,1,yes,ood
0,dj_1_e5_p6,dj,5,6,ood,1823.8663330078100,13.958854,Digit 6,Digit 6,id,0,0,no,ood
45,dj_10_e5_p6,dj,5,6,ood,1847.318603515630,15.195863,Digit 6,Digit 6,id,0,0,no,ood
45,dj_11_e5_p6,dj,5,6,ood,2435.563232421880,13.036874,Digit 5,Digit 1,id,1,0,N/A,ood
46,dj_12_e5_p3,dj,5,3,ood,407.2627868652340,18.85763,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
46,dj_13_e5_p6,dj,5,6,ood,2047.431396484380,11.281995,Digit 6,Digit 6,id,0,0,no,ood
47,dj_14_e5_p6,dj,5,6,ood,1727.757568359380,12.936196,Digit 6,Digit 6,id,0,0,no,ood
47,dj_15_e5_p6,dj,5,6,ood,1744.9091796875,13.588558,Digit 6,Digit 6,id,0,0,no,ood
48,dj_16_e5_p6,dj,5,6,ood,1661.949462890630,15.395616,Digit 6,Digit 6,id,0,0,no,ood
48,dj_17_e5_p6,dj,5,6,ood,1510.7939453125,14.242718,Digit 6,Digit 6,id,0,0,no,ood
49,dj_18_e5_p6,dj,5,6,ood,2126.4599609375,11.762032,Digit 6,Digit 6,id,0,0,no,ood
49,dj_19_e5_p6,dj,5,6,ood,1940.1060791015600,13.03276,Digit 6,Digit 6,id,0,0,no,ood
1,dj_2_e5_p6,dj,5,6,ood,2060.977783203130,12.6753645,Digit 6,Digit 6,id,0,0,no,ood
2,dj_20_e5_p3,dj,5,3,ood,1237.5738525390600,17.923069,Not a Street View House Number,Digit 0,?,0,0,no,ood
2,dj_21_e5_p6,dj,5,6,ood,1695.5284423828100,14.630748,Digit 6,Digit 6,id,0,0,no,ood
3,dj_22_e5_p1,dj,5,1,ood,2945.41357421875,11.427228,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
3,dj_23_e5_p9,dj,5,9,ood,1322.1849365234400,11.662969,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
4,dj_24_e5_p6,dj,5,6,ood,2027.5164794921900,12.142115,Digit 6,Digit 6,id,0,0,no,ood
4,dj_25_e5_p9,dj,5,9,ood,2122.713134765630,10.686295,Digit 9,Digit 9,id,0,0,no,ood
5,dj_26_e5_p9,dj,5,9,ood,710.2819213867190,11.801364,Digit 9,Digit 5,id,0,1,N/A,ood
5,dj_27_e5_p9,dj,5,9,ood,1439.5899658203100,12.628235,Digit 5,Not a Street View House Number,?,1,0,N/A,ood
6,dj_28_e5_p6,dj,5,6,ood,1874.45947265625,13.3714695,Digit 6,Digit 6,id,0,0,no,ood
6,dj_29_e5_p3,dj,5,3,ood,604.8982543945310,15.4458475,Digit 0,Not a Street View House Number,?,0,0,no,ood
1,dj_3_e5_p1,dj,5,1,ood,1734.44677734375,19.98876,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
7,dj_30_e5_p6,dj,5,6,ood,2171.44384765625,15.131596,Not a Street View House Number,Digit 5,?,0,1,N/A,ood
7,dj_31_e5_p3,dj,5,3,ood,1377.469482421880,22.715984,Not a Street View House Number,Digit 6,?,0,0,no,ood
8,dj_32_e5_p9,dj,5,9,ood,1308.38134765625,12.714776,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
8,dj_33_e5_p6,dj,5,6,ood,989.9412231445310,34.195763,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
9,dj_34_e5_p7,dj,5,7,ood,1436.1580810546900,16.22127,Not a Street View House Number,Digit 5,?,0,1,N/A,ood
9,dj_35_e5_p2,dj,5,2,ood,2954.318115234380,9.546201,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
10,dj_36_e5_p6,dj,5,6,ood,1718.3612060546900,15.645181,Digit 9,Digit 6,id,0,0,no,ood
10,dj_37_e5_p6,dj,5,6,ood,2387.631103515630,12.965978,Not a Street View House Number,Digit 8,?,0,0,no,ood
11,dj_38_e5_p6,dj,5,6,ood,1869.939453125,17.84708,Digit 5,Digit 6,id,1,0,N/A,ood
11,dj_39_e5_p2,dj,5,2,ood,2493.2529296875,12.546067,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
12,dj_4_e5_p6,dj,5,6,ood,758.2807006835940,33.985996,Digit 8,Digit 6,id,0,0,no,ood
13,dj_40_e5_p9,dj,5,9,ood,1438.8690185546900,12.2730875,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
13,dj_41_e5_p6,dj,5,6,ood,1508.1793212890600,27.436268,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
14,dj_42_e5_p9,dj,5,9,ood,1720.6170654296900,11.324448,Digit 9,Digit 9,id,0,0,no,ood
14,dj_43_e5_p9,dj,5,9,ood,2285.801513671880,10.821577,Not a Street View House Number,Digit 9,?,0,0,no,ood
15,dj_44_e5_p8,dj,5,8,ood,3173.6982421875,6.488633,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
15,dj_45_e5_p3,dj,5,3,ood,1430.385986328130,19.382948,Digit 8,Digit 0,id,0,0,no,ood
16,dj_46_e5_p9,dj,5,9,ood,829.0877075195310,10.959501,Not a Street View House Number,Digit 5,?,0,1,N/A,ood
16,dj_47_e5_p6,dj,5,6,ood,1095.8572998046900,32.46933,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
17,dj_48_e5_p9,dj,5,9,ood,2264.06982421875,11.154993,Not a Street View House Number,Digit 5,?,0,1,N/A,ood
17,dj_49_e5_p9,dj,5,9,ood,1902.0574951171900,10.301771,Digit 9,Digit 9,id,0,0,no,ood
12,dj_5_e5_p4,dj,5,4,ood,913.9134521484380,11.747753,Digit 0,Digit 6,id,0,0,no,ood
18,dj_50_e5_p3,dj,5,3,ood,2087.10791015625,18.992058,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
18,dj_51_e5_p9,dj,5,9,ood,-354.1280517578130,8.959367,Not a Street View House Number,Digit 5,?,0,1,N/A,ood
19,dj_52_e5_p6,dj,5,6,ood,1830.698486328130,13.904605,Digit 8,Not a Street View House Number,?,0,0,no,ood
19,dj_53_e5_p8,dj,5,8,ood,2793.440185546880,6.360518,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
20,dj_54_e5_p3,dj,5,3,ood,1196.7978515625,21.78215,Digit 6,Digit 1,id,0,0,no,ood
20,dj_55_e5_p1,dj,5,1,ood,1335.0487060546900,19.997501,Digit 5,Digit 5,id,1,1,yes,ood
21,dj_56_e5_p6,dj,5,6,ood,1728.0582275390600,15.837964,Digit 6,Digit 6,id,0,0,no,ood
21,dj_57_e5_p2,dj,5,2,ood,1950.9705810546900,16.26733,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
22,dj_58_e5_p2,dj,5,2,ood,1113.7625732421900,25.441216,Digit 5,Digit 5,id,1,1,yes,ood
22,dj_59_e5_p9,dj,5,9,ood,648.8392944335940,13.518712,Not a Street View House Number,Digit 9,?,0,0,no,ood
23,dj_6_e5_p6,dj,5,6,ood,1686.4622802734400,14.092759,Digit 6,Digit 6,id,0,0,no,ood
24,dj_60_e5_p6,dj,5,6,ood,1886.9384765625,13.005181,Digit 6,Digit 6,id,0,0,no,ood
24,dj_61_e5_p3,dj,5,3,ood,2272.35693359375,14.697989,Not a Street View House Number,Digit 0,?,0,0,no,ood
25,dj_62_e5_p6,dj,5,6,ood,1969.0416259765600,12.889017,Digit 6,Digit 6,id,0,0,no,ood
25,dj_63_e5_p6,dj,5,6,ood,1497.1385498046900,13.923948,Digit 6,Digit 6,id,0,0,no,ood
26,dj_64_e5_p6,dj,5,6,ood,152.62710571289100,13.699619,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
26,dj_65_e5_p6,dj,5,6,ood,1696.091064453130,15.95863,Not a Street View House Number,Digit 6,?,0,0,no,ood
27,dj_66_e5_p3,dj,5,3,ood,2189.07666015625,18.534618,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
27,dj_67_e5_p6,dj,5,6,ood,1796.0267333984400,14.498646,Digit 6,Digit 6,id,0,0,no,ood
28,dj_68_e5_p1,dj,5,1,ood,1541.764404296880,16.494678,Digit 5,Digit 5,id,1,1,yes,ood
28,dj_69_e5_p6,dj,5,6,ood,1940.73876953125,13.071413,Digit 6,Digit 5,id,0,1,N/A,ood
23,dj_7_e5_p6,dj,5,6,ood,1897.001220703130,13.851828,Digit 6,Digit 6,id,0,0,no,ood
29,dj_70_e5_p3,dj,5,3,ood,2953.77587890625,10.292943,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
29,dj_71_e5_p6,dj,5,6,ood,2368.65283203125,10.26946,Digit 5,Digit 6,id,1,0,N/A,ood
30,dj_72_e5_p8,dj,5,8,ood,3242.335205078130,11.911169,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
30,dj_73_e5_p3,dj,5,3,ood,2141.04931640625,14.483784,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
31,dj_74_e5_p6,dj,5,6,ood,1843.438232421880,14.621816,Digit 6,Digit 6,id,0,0,no,ood
31,dj_75_e5_p9,dj,5,9,ood,3499.994873046880,10.89245,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
32,dj_76_e5_p3,dj,5,3,ood,2199.95703125,14.566392,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
32,dj_77_e5_p6,dj,5,6,ood,1772.0074462890600,13.402182,Digit 6,Digit 6,id,0,0,no,ood
33,dj_78_e5_p7,dj,5,7,ood,1712.8994140625,24.201214,Digit 2,Not a Street View House Number,?,0,0,no,ood
33,dj_79_e5_p6,dj,5,6,ood,1722.2694091796900,14.670689,Digit 6,Digit 6,id,0,0,no,ood
34,dj_8_e5_p6,dj,5,6,ood,1872.281982421880,12.665521,Digit 6,Digit 6,id,0,0,no,ood
35,dj_80_e5_p6,dj,5,6,ood,1418.0701904296900,15.720284,Digit 6,Digit 6,id,0,0,no,ood
35,dj_81_e5_p7,dj,5,7,ood,2037.6875,24.933306,Not a Street View House Number,Digit 2,?,0,0,no,ood
36,dj_82_e5_p6,dj,5,6,ood,1996.6329345703100,12.459697,Digit 6,Digit 6,id,0,0,no,ood
36,dj_83_e5_p2,dj,5,2,ood,388.6648864746090,28.791336,Digit 8,Digit 8,id,0,0,no,ood
37,dj_84_e5_p2,dj,5,2,ood,1672.36083984375,20.829617,Not a Street View House Number,Digit 5,?,0,1,N/A,ood
37,dj_85_e5_p6,dj,5,6,ood,1790.2042236328100,15.62683,Not a Street View House Number,Digit 6,?,0,0,no,ood
38,dj_86_e5_p6,dj,5,6,ood,1662.462646484380,14.074214,Digit 6,Digit 6,id,0,0,no,ood
38,dj_87_e5_p2,dj,5,2,ood,3419.696044921880,12.518442,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
39,dj_88_e5_p9,dj,5,9,ood,1696.391845703130,12.134169,Digit 0,Not a Street View House Number,?,0,0,no,ood
39,dj_89_e5_p2,dj,5,2,ood,1050.628173828130,19.248753,Digit 8,Not a Street View House Number,?,0,0,no,ood
34,dj_9_e5_p9,dj,5,9,ood,2539.010498046880,3.258149,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,id
40,dj_90_e5_p7,dj,5,7,ood,1384.524169921880,17.221708,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
40,dj_91_e5_p4,dj,5,4,ood,1320.7354736328100,17.576939,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
41,dj_92_e5_p8,dj,5,8,ood,2659.5771484375,7.966358,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
41,dj_93_e5_p9,dj,5,9,ood,-455.5005798339840,18.153362,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood
42,dj_94_e5_p7,dj,5,7,ood,967.1124877929690,16.93305,Not a Street View House Number,Digit 5,?,0,1,N/A,ood
42,dj_95_e5_p2,dj,5,2,ood,972.3507690429690,12.233325,Not a Street View House Number,Digit 5,?,0,1,N/A,ood
