TOOL,SAMPLE,ID/OOD,loss
DJ,dj_0_e5_p8.npy,id,0.22058639
DJ,dj_10_e5_p6.npy,id,0.24528861
DJ,dj_11_e5_p3.npy,id,0.2164699
DJ,dj_12_e5_p3.npy,id,0.23378688
DJ,dj_13_e5_p8.npy,id,0.2431199
DJ,dj_14_e5_p6.npy,id,0.1634863
DJ,dj_15_e5_p8.npy,ood,0.28060624
DJ,dj_16_e5_p9.npy,id,0.1621373
DJ,dj_17_e5_p2.npy,id,0.25256428
DJ,dj_18_e5_p3.npy,id,0.25557998
DJ,dj_19_e5_p7.npy,id,0.1234176
DJ,dj_1_e5_p3.npy,id,0.17912069
DJ,dj_20_e5_p3.npy,id,0.21040757
DJ,dj_21_e5_p7.npy,id,0.16008765
DJ,dj_22_e5_p6.npy,id,0.24214914
DJ,dj_23_e5_p3.npy,id,0.21948427
DJ,dj_24_e5_p3.npy,id,0.22817521
DJ,dj_25_e5_p3.npy,id,0.16565192
DJ,dj_26_e5_p3.npy,id,0.18891753
DJ,dj_27_e5_p0.npy,id,0.21720299
DJ,dj_28_e5_p6.npy,id,0.22177266
DJ,dj_29_e5_p3.npy,id,0.17901993
DJ,dj_2_e5_p4.npy,id,0.1488184
DJ,dj_30_e5_p3.npy,id,0.16402711
DJ,dj_31_e5_p8.npy,id,0.26240876
DJ,dj_32_e5_p3.npy,id,0.21216197
DJ,dj_33_e5_p3.npy,id,0.14835912
DJ,dj_34_e5_p3.npy,id,0.24307004
DJ,dj_35_e5_p6.npy,id,0.15061593
DJ,dj_36_e5_p6.npy,id,0.14133808
DJ,dj_37_e5_p3.npy,ood,0.2927133
DJ,dj_38_e5_p3.npy,id,0.21687049
DJ,dj_39_e5_p6.npy,id,0.21920724
DJ,dj_3_e5_p3.npy,ood,0.27033123
DJ,dj_40_e5_p8.npy,id,0.23194376
DJ,dj_41_e5_p3.npy,ood,0.2902577
DJ,dj_42_e5_p6.npy,id,0.11169886
DJ,dj_43_e5_p3.npy,ood,0.28067464
DJ,dj_44_e5_p3.npy,id,0.17735244
DJ,dj_45_e5_p6.npy,id,0.13297506
DJ,dj_46_e5_p9.npy,id,0.153155
DJ,dj_47_e5_p6.npy,ood,0.2815455
DJ,dj_48_e5_p6.npy,id,0.23514321
DJ,dj_49_e5_p7.npy,id,0.15771937
DJ,dj_4_e5_p3.npy,id,0.23681131
DJ,dj_50_e5_p7.npy,id,0.1371284
DJ,dj_51_e5_p6.npy,ood,0.3167699
DJ,dj_52_e5_p7.npy,id,0.1117817
DJ,dj_53_e5_p0.npy,id,0.2446025
DJ,dj_54_e5_p6.npy,id,0.14287148
DJ,dj_55_e5_p3.npy,id,0.19624127
DJ,dj_56_e5_p2.npy,ood,0.28434792
DJ,dj_57_e5_p3.npy,id,0.23543233
DJ,dj_58_e5_p6.npy,id,0.2031404
DJ,dj_59_e5_p3.npy,id,0.20415956
DJ,dj_5_e5_p4.npy,id,0.2107352
DJ,dj_60_e5_p4.npy,id,0.20984654
DJ,dj_61_e5_p8.npy,id,0.24302125
DJ,dj_62_e5_p3.npy,id,0.21867186
DJ,dj_63_e5_p6.npy,id,0.11244672
DJ,dj_64_e5_p3.npy,id,0.16873622
DJ,dj_65_e5_p0.npy,id,0.19291057
DJ,dj_66_e5_p8.npy,id,0.19858328
DJ,dj_67_e5_p8.npy,id,0.19053906
DJ,dj_68_e5_p3.npy,id,0.20702691
DJ,dj_69_e5_p0.npy,id,0.16331159
DJ,dj_6_e5_p3.npy,id,0.16064765
DJ,dj_70_e5_p3.npy,id,0.2082575
DJ,dj_71_e5_p8.npy,id,0.13513446
DJ,dj_72_e5_p6.npy,id,0.22083354
DJ,dj_73_e5_p9.npy,id,0.21136971
DJ,dj_74_e5_p3.npy,id,0.18001148
DJ,dj_75_e5_p4.npy,id,0.21461771
DJ,dj_76_e5_p3.npy,id,0.20698012
DJ,dj_77_e5_p3.npy,id,0.24773711
DJ,dj_78_e5_p3.npy,id,0.17874052
DJ,dj_79_e5_p3.npy,id,0.23122048
DJ,dj_7_e5_p8.npy,id,0.1295575
DJ,dj_80_e5_p3.npy,id,0.19240734
DJ,dj_81_e5_p3.npy,id,0.17179084
DJ,dj_82_e5_p6.npy,id,0.19660182
DJ,dj_83_e5_p8.npy,id,0.23664422
DJ,dj_84_e5_p3.npy,id,0.14940418
DJ,dj_85_e5_p6.npy,id,0.19036266
DJ,dj_86_e5_p3.npy,ood,0.27096096
DJ,dj_87_e5_p4.npy,id,0.22864416
DJ,dj_88_e5_p8.npy,ood,0.2757658
DJ,dj_89_e5_p4.npy,id,0.22257207
DJ,dj_8_e5_p6.npy,id,0.17593016
DJ,dj_90_e5_p4.npy,id,0.14823982
DJ,dj_91_e5_p3.npy,id,0.19500849
DJ,dj_92_e5_p3.npy,id,0.2099664
DJ,dj_93_e5_p3.npy,id,0.16873956
DJ,dj_94_e5_p8.npy,id,0.2310806
DJ,dj_95_e5_p3.npy,id,0.21159597
DJ,dj_96_e5_p6.npy,id,0.13950402
DJ,dj_97_e5_p2.npy,id,0.25850108
DJ,dj_98_e5_p3.npy,id,0.22213566
DJ,dj_99_e5_p3.npy,ood,0.3093188
DJ,dj_9_e5_p3.npy,ood,0.26983693
DLF,dlf_0_e5_p3.npy,ood,0.36586395
DLF,dlf_10_e5_p3.npy,ood,0.3288512
DLF,dlf_11_e5_p3.npy,ood,0.32057133
DLF,dlf_12_e5_p8.npy,ood,0.40063053
DLF,dlf_13_e5_p9.npy,ood,0.36731088
DLF,dlf_14_e5_p3.npy,ood,0.33683306
DLF,dlf_15_e5_p8.npy,ood,0.36579168
DLF,dlf_16_e5_p3.npy,ood,0.37351862
DLF,dlf_17_e5_p3.npy,ood,0.42506456
DLF,dlf_18_e5_p3.npy,id,0.23258655
DLF,dlf_19_e5_p3.npy,ood,0.4430982
DLF,dlf_1_e5_p8.npy,ood,0.30967513
DLF,dlf_20_e5_p3.npy,ood,0.3042758
DLF,dlf_21_e5_p8.npy,ood,0.39122698
DLF,dlf_22_e5_p3.npy,ood,0.2941245
DLF,dlf_23_e5_p3.npy,id,0.2525923
DLF,dlf_24_e5_p3.npy,ood,0.27191243
DLF,dlf_25_e5_p3.npy,ood,0.31825948
